id,name,path,centroid,maxMagnitude,impactRadiusKm,affectedProvinces
mgt-aceh-andaman,Segmen Aceh-Andaman,"[[14,93.5],[12,94.5],[10,95],[8,95.5],[6.5,95],[5.5,95.3]]","[8.5,94.8]",9.2,450,"[""ID-AC"",""ID-SU""]"
mgt-nias-simeulue,Segmen Nias-Simeulue,"[[4,95.5],[2.5,96],[1,96.5],[0,97]]","[2,96.3]",8.7,350,"[""ID-AC"",""ID-SU""]"
mgt-mentawai-siberut,Segmen Mentawai-Siberut,"[[-1,97.5],[-2,98],[-3,98.5],[-4,99]]","[-2.5,98.3]",8.9,380,"[""ID-SB""]"
mgt-mentawai-pagai,Segmen Mentawai-Pagai,"[[-4,99],[-5,99.5],[-5.5,100],[-6,100.5]]","[-5,99.8]",8.8,360,"[""ID-SB"",""ID-BE""]"
mgt-enggano,Segmen Enggano,"[[-6,100.5],[-6.5,101],[-7,101.5],[-7.5,102]]","[-6.8,101.2]",8.4,300,"[""ID-BE"",""ID-LA""]"
mgt-selat-sunda,Segmen Selat Sunda,"[[-7.5,102],[-8,103],[-8.5,104],[-8.8,105]]","[-8.2,103.5]",8.7,350,"[""ID-LA"",""ID-BT"",""ID-JK""]"
mgt-jawa-barat,Segmen Jawa Barat,"[[-8.8,105],[-9,106.5],[-9.2,107.5],[-9.3,108.5]]","[-9.1,107]",8.7,350,"[""ID-JK"",""ID-JB""]"
mgt-jawa-tengah-timur,Segmen Jawa Tengah-Timur,"[[-9.3,108.5],[-9.4,110],[-9.5,111.5],[-9.6,113]]","[-9.4,110.5]",8.7,350,"[""ID-JT"",""ID-YO"",""ID-JI""]"
mgt-bali,Segmen Bali,"[[-9.6,113],[-9.7,114],[-9.8,115],[-9.9,116]]","[-9.8,114.5]",8.5,320,"[""ID-BA""]"
mgt-ntb,Segmen Nusa Tenggara Barat,"[[-9.9,116],[-10,117],[-10.1,118],[-10.2,119]]","[-10,117.5]",8.5,320,"[""ID-NB""]"
mgt-sumba,Segmen Sumba,"[[-10.2,119],[-10.4,120.5],[-10.6,122],[-10.8,123.5]]","[-10.5,121]",8.5,320,"[""ID-NT""]"
mgt-sulawesi-utara,Segmen Sulawesi Utara,"[[5,122],[3.5,124],[2,126],[1,127]]","[2.8,124.8]",8.4,300,"[""ID-SA"",""ID-GO""]"
mgt-banda,Segmen Banda,"[[-4,128],[-5.5,130],[-7,131.5],[-8,133]]","[-6,130.5]",8.2,280,"[""ID-MA"",""ID-MU""]"
